estimate,stderr,dof,t,p,min90,max90,x
1993.5031,1481.4602,166,1.3456339,.18025569,-456.9576,4443.9637,-5
2299.1715,1381.3588,166,1.6644275,.09791348,14.28705,4584.0559,-4
2599.0718,1290.9085,166,2.0133664,.04569179,463.79984,4734.3438,-3
2893.2042,1209.8389,166,2.3913962,.01790304,892.02809,4894.3803,-2
3181.5685,1137.7428,166,2.7963863,.00577793,1299.6455,5063.4915,-1
3464.1648,1074.059,166,3.2253021,.00151569,1687.5802,5240.7494,0
3740.9931,1018.0653,166,3.6746101,.00032114,2057.0268,5424.9593,1
4012.0533,968.88521,166,4.1408964,.00005495,2409.4351,5614.6715,2
4277.3455,925.509,166,4.6216142,7.612e-06,2746.4752,5808.2158,3
4536.8697,886.82793,166,5.1158399,8.547e-07,3069.9812,6003.7582,4
4790.6259,851.67671,166,5.6249347,7.723e-08,3381.8804,6199.3713,5
5038.614,818.87825,166,6.1530685,5.502e-09,3684.12,6393.108,6
5280.8341,787.28494,166,6.7076529,2.968e-10,3978.5981,6583.0701,7
5517.2862,755.81225,166,7.2998104,1.137e-11,4267.1087,6767.4637,8
5747.9702,723.46297,166,7.9450787,2.803e-13,4551.3012,6944.6393,9
5972.8863,689.34223,166,8.6646168,3.884e-15,4832.6558,7113.1167,10
6192.0342,652.66549,166,9.4873015,2.497e-17,5112.4702,7271.5983,11
6405.4142,612.76219,166,10.453344,5.711e-20,5391.8536,7418.9748,12
6613.0262,569.07914,166,11.620574,3.204e-23,5671.7211,7554.3313,13
6814.8701,521.18885,166,13.075625,2.599e-27,5952.7796,7676.9606,14
7010.946,468.81229,166,14.954697,1.424e-32,6235.4907,7786.4012,15
7201.2538,411.87621,166,17.484025,1.735e-39,6519.9757,7882.532,16
7385.7936,350.65766,166,21.06269,9.276e-49,6805.7762,7965.8111,17
7564.5654,286.17382,166,26.433464,2.212e-61,7091.2097,8037.9212,18
7737.5692,221.36497,166,34.953901,1.884e-78,7371.4128,8103.7256,19
7904.805,165.04713,166,47.894228,4.263e-99,7631.803,8177.8069,20
8066.2727,141.3183,166,57.078757,5.07e-111,7832.5203,8300.0251,21
8221.9724,175.94536,166,46.73026,1.913e-97,7930.9439,8513.0009,22
8371.9041,253.70061,166,32.999148,8.032e-75,7952.2618,8791.5464,23
8516.0677,353.21464,166,24.110177,4.111e-56,7931.8208,9100.3146,24
8654.4633,465.95802,166,18.573483,2.224e-42,7883.7293,9425.1973,25
8787.0909,588.90197,166,14.921144,1.765e-32,7812.9972,9761.1846,26
8913.9505,720.83391,166,12.366164,2.578e-25,7721.6301,10106.271,27
9035.042,861.20971,166,10.491106,4.491e-20,7610.5282,10459.556,28
9150.3655,1009.7658,166,9.0618687,3.457e-16,7480.1273,10820.604,29
9259.921,1166.3696,166,7.9390964,2.903e-13,7330.6468,11189.195,30
9363.7084,1330.9544,166,7.0353338,4.965e-11,7162.1971,11565.22,31
9461.7278,1503.4886,166,6.2931823,2.667e-09,6974.8303,11948.625,32
9553.9792,1683.9603,166,5.6735181,6.094e-08,6768.5663,12339.392,33
9640.4626,1872.3684,166,5.1488064,7.348e-07,6543.4066,12737.519,34
9721.178,2068.7183,166,4.6991309,5.457e-06,6299.3427,13143.013,35
